seq;timestamp;data
0;1747216879.312225;-16838.388672 86938.320312 -20082.765625 41079.785156 -190937.312500 -127421.843750 -89747.804688 -120588.367188 -21155.787109 -82585.664062 -39065.156250 7898.552734 31130.773438 27573.404297 31558.753906 17964.285156 -2454.329590 25053.593750 -73212.906250 15834.115234 32346.951172 -221532.546875 -55054.113281 -158987.609375 -187250.515625 -105603.351562 -73046.992188 -62979.820312 -37687.167969 -20924.095703
1;1747216879.495727;-16597.408203 88981.757812 -20012.308594 42203.261719 -164618.546875 -112798.273438 -79737.546875 -110921.000000 -25039.535156 -48959.351562 -30570.945312 6867.444336 28598.882812 27430.757812 31139.638672 17192.177734 17599.005859 24159.935547 -67287.328125 23488.751953 32457.019531 -159038.640625 -60540.410156 -185709.687500 -151769.578125 -98150.453125 -73778.562500 -63363.425781 -40879.691406 -20639.343750
2;1747216879.677944;16279.557617 -36264.128906 -8945.131836 -116070.406250 -170325.875000 -66397.875000 -71939.843750 -69159.609375 -79200.414062 -75142.914062 -59048.046875 -27951.023438 -1377.698608 12158.779297 29376.628906 12665.347656 28343.837891 34095.863281 -33761.308594 -10810.776367 3560.209961 -14292.339844 -26620.330078 -17480.953125 -45369.609375 -55418.816406 -62685.656250 -62683.914062 -49299.996094 -30882.212891
3;1747216879.860087;-16984.990234 91389.695312 -19964.537109 43791.605469 -159193.937500 -125233.226562 -123439.640625 -113535.234375 -17907.992188 -62699.429688 -33729.968750 7033.930176 29162.093750 26674.347656 30562.996094 17262.351562 6600.630371 24384.269531 -65274.402344 23080.828125 19045.662109 -167878.515625 -51506.109375 -183298.843750 -151341.203125 -95400.226562 -73184.023438 -65442.199219 -41047.707031 -20572.021484
4;1747216880.038695;-17527.152344 84731.367188 -20408.675781 38945.964844 -200120.296875 -114347.328125 -91015.828125 -111586.281250 -10173.054688 -95242.593750 -42118.792969 5634.802246 36087.417969 25725.080078 29859.333984 17952.833984 1744.041138 24784.546875 -70288.945312 58259.191406 27186.339844 -228149.359375 -60816.015625 -213648.437500 -173499.875000 -118489.226562 -76618.914062 -62603.515625 -38766.480469 -21749.107422
5;1747216880.219410;-17949.445312 95227.382812 -18880.578125 30900.587891 -258322.656250 -105123.273438 -117544.945312 -124468.179688 -62053.933594 -118546.460938 -27099.507812 4957.388672 31458.294922 26463.470703 30829.455078 18935.529297 6134.467285 26597.150391 -62857.757812 11588.429688 51534.156250 -152529.906250 -83890.031250 -156312.593750 -189234.625000 -102818.320312 -72687.828125 -61275.414062 -38189.164062 -19437.023438
6;1747216880.409921;-16268.241211 92698.843750 -19423.019531 44292.332031 -187766.406250 -101184.960938 -105694.765625 -117258.250000 -36237.257812 -52659.503906 -28918.923828 9771.294922 31483.632812 26515.312500 31058.804688 16941.335938 10879.898438 23186.652344 -62697.003906 69253.257812 32082.119141 -173997.906250 -72829.359375 -185498.031250 -143963.687500 -101605.203125 -75411.515625 -64445.257812 -39982.121094 -21328.187500
7;1747216880.612105;16687.277344 -34542.863281 -6195.437500 -111320.414062 -127714.804688 -64736.148438 -79197.382812 -70069.546875 -74971.906250 -74265.859375 -58253.156250 -29979.458984 -9368.035156 16598.933594 29736.369141 11948.177734 28663.712891 36514.976562 -26985.123047 -2491.293701 2897.942871 -15530.313477 -19475.984375 -19377.167969 -19502.316406 -52145.621094 -64136.332031 -59034.125000 -50221.988281 -32913.187500
8;1747216880.795396;16261.440430 -35757.472656 -10561.637695 -108612.093750 -133164.156250 -60571.910156 -74574.265625 -71288.140625 -71627.609375 -84940.078125 -50556.242188 -25957.349609 -2824.413330 12067.525391 29718.125000 14051.156250 27941.619141 36747.496094 -16618.216797 -14450.107422 -1998.465576 -23320.371094 -30049.408203 -15934.050781 -35707.378906 -57211.523438 -61731.351562 -64266.656250 -52816.152344 -31034.500000
9;1747216880.985363;-17013.802734 81453.148438 -20058.121094 47545.867188 -163011.515625 -120065.992188 -99623.656250 -120839.640625 -16429.433594 -21732.996094 -33546.214844 11578.100586 31376.970703 27547.341797 30956.144531 16696.517578 4867.653809 22813.679688 -72618.382812 53035.320312 19104.123047 -180297.312500 -47210.269531 -189544.468750 -162648.531250 -92747.953125 -75318.406250 -64472.046875 -39475.582031 -21366.193359
