seq;timestamp;data
0;1745751622.019776;-0.386008 0.588606 -0.344617 0.394662 0.105534 0.117549 0.061140 0.057665 0.043102 0.031163 0.024301 0.021869 0.017366 0.016822 0.016300 0.511880 0.025950 -0.722224 -0.146410 -0.269532 -0.225263 -0.118436 -0.112623 -0.101235 -0.068224 -0.047524 -0.035818 -0.023273 -0.014802 -0.008292
1;1745751622.222568;0.617175 0.176999 0.446829 0.153438 0.236368 0.149402 0.102468 0.059006 0.042389 0.026143 0.023311 0.019459 0.018784 0.017380 0.016075 0.017128 -0.210783 -0.124757 -0.213765 -0.241764 -0.136960 -0.137560 -0.111582 -0.107814 -0.068775 -0.051829 -0.036071 -0.024426 -0.015933 -0.007743
2;1745751622.404029;0.622871 0.500838 0.359661 0.197067 0.143027 0.117352 0.070598 0.074650 0.053366 0.031019 0.023803 0.022289 0.017287 0.017356 0.016549 -0.215726 0.069261 0.054061 -0.195985 -0.195775 -0.166899 -0.146399 -0.116292 -0.107829 -0.066469 -0.051091 -0.032586 -0.023360 -0.015115 -0.007778
3;1745751622.596279;0.351987 0.350931 0.295586 0.331447 0.188278 0.106898 0.104251 0.054336 0.039545 0.041062 0.025685 0.020481 0.017553 0.016771 0.016244 -0.018050 0.072953 -0.168975 -0.230679 -0.234240 -0.256687 -0.169925 -0.151308 -0.095996 -0.067311 -0.050570 -0.035187 -0.023963 -0.015719 -0.007541
4;1745751622.786147;0.134833 0.421842 0.368875 0.273083 0.124086 0.132543 0.058950 0.050061 0.039505 0.030818 0.022592 0.020845 0.018848 0.016432 0.015607 0.178991 -0.416305 -0.009672 -0.001926 -0.297117 -0.165086 -0.163998 -0.123076 -0.111861 -0.072726 -0.053533 -0.034390 -0.024251 -0.014875 -0.008063
5;1745751622.971112;-0.555911 0.332752 0.428996 0.321321 0.134097 0.142600 0.060235 0.053764 0.045862 0.034834 0.019783 0.020512 0.018969 0.017226 0.016119 0.321207 -0.300416 -0.325043 -0.276266 -0.238458 -0.195440 -0.187218 -0.123593 -0.108553 -0.073220 -0.049042 -0.036179 -0.023665 -0.014869 -0.008283
6;1745751623.152738;0.152025 0.336967 0.321513 0.388198 0.190876 0.147591 0.094184 0.055486 0.042884 0.023258 0.023284 0.022498 0.016847 0.016687 0.016883 0.441297 -0.084630 -0.004373 -0.105712 -0.166160 -0.260083 -0.142934 -0.138476 -0.108379 -0.078532 -0.049885 -0.034037 -0.023378 -0.014968 -0.008025
7;1745751623.344034;1.601992 0.242284 0.448323 0.290194 0.322406 0.079150 0.111617 0.054455 0.045630 0.032707 0.021257 0.021369 0.017113 0.016804 0.015890 1.111520 -0.159711 0.126210 -0.435891 -0.329763 -0.237925 -0.179226 -0.111874 -0.101348 -0.064815 -0.051255 -0.036144 -0.024014 -0.015439 -0.008362
8;1745751623.525763;0.152070 0.587755 0.641477 0.359280 0.174914 0.113834 0.076736 0.056676 0.047080 0.033049 0.024526 0.020277 0.017384 0.015971 0.016266 0.263840 -0.446009 -0.126250 -0.198062 -0.192808 -0.200549 -0.190337 -0.113674 -0.089411 -0.075259 -0.050949 -0.034991 -0.024011 -0.015571 -0.008092
9;1745751623.718028;0.221394 0.648792 -2.487206 0.180458 0.217457 0.077615 0.096786 0.037982 0.048713 0.031105 0.024119 0.020621 0.017525 0.016657 0.016482 0.208432 -0.172877 0.546456 -0.171327 -0.178620 -0.192746 -0.187357 -0.150212 -0.102563 -0.067931 -0.048369 -0.033093 -0.024360 -0.014901 -0.007647
10;1745751623.902299;0.926018 0.552808 1.161085 0.203820 0.236477 0.144596 0.075060 0.084263 0.045758 0.025051 0.024726 0.020762 0.017811 0.016470 0.016880 0.266287 0.073469 0.845721 -0.194810 -0.172314 -0.156610 -0.157139 -0.151592 -0.094719 -0.068177 -0.048858 -0.036675 -0.023652 -0.015275 -0.008209
11;1745751624.100316;0.144196 0.396660 0.288578 0.270277 0.223339 0.160279 0.097669 0.052223 0.040015 0.032324 0.025429 0.018988 0.018064 0.016572 0.016751 0.188971 -0.180844 -0.134796 -0.185074 -0.282270 -0.159459 -0.144045 -0.115961 -0.098907 -0.070668 -0.050915 -0.035883 -0.024069 -0.015578 -0.007591
12;1745751624.285369;0.936883 0.296905 1.063662 0.351958 0.198321 0.093689 0.079092 0.061157 0.041175 0.028443 0.024531 0.019796 0.016898 0.016875 0.015858 -0.018545 -0.203436 0.420953 -0.279821 -0.178479 -0.187386 -0.160946 -0.146587 -0.103855 -0.074155 -0.052435 -0.035836 -0.023499 -0.014749 -0.007180
13;1745751624.466991;0.239283 0.478732 0.341382 0.306336 0.206511 0.113875 0.075628 0.064754 0.045732 0.033249 0.025589 0.021679 0.018340 0.016517 0.016029 0.273457 -0.040526 -0.104537 -0.126002 -0.246468 -0.224228 -0.163497 -0.108254 -0.090763 -0.069758 -0.048855 -0.034714 -0.023371 -0.014901 -0.008017
14;1745751624.647089;0.651526 0.275290 0.682498 0.509914 0.147230 0.089318 0.079672 0.032380 0.046515 0.029982 0.021694 0.019678 0.017391 0.017042 0.016161 -0.352760 0.068183 -0.387112 -0.484007 -0.271595 -0.197496 -0.149142 -0.134310 -0.103916 -0.070198 -0.051219 -0.037670 -0.023442 -0.014881 -0.007489
15;1745751624.831888;-0.459022 0.713755 0.187502 0.351584 0.183684 0.158593 0.088345 0.085548 0.047854 0.030650 0.023982 0.020076 0.018933 0.016679 0.015959 -0.168698 -0.415814 -0.354798 -0.229789 -0.225560 -0.251610 -0.144814 -0.111384 -0.090479 -0.069375 -0.051949 -0.035864 -0.023600 -0.014499 -0.007742
16;1745751625.027917;-0.062110 0.502702 0.477158 0.256069 0.169824 0.104422 0.081603 0.056173 0.037820 0.031759 0.023760 0.020848 0.018244 0.017575 0.016050 0.672138 -0.002982 -0.281855 -0.141503 -0.290490 -0.223530 -0.188573 -0.134884 -0.098222 -0.071534 -0.048193 -0.035520 -0.024173 -0.015380 -0.008414
17;1745751625.221716;0.530041 0.455276 0.667963 0.196244 0.213917 0.122381 0.095308 0.053942 0.035667 0.026816 0.026167 0.021206 0.017870 0.016932 0.016130 -0.315058 -0.185180 0.016526 -0.163166 -0.237737 -0.162505 -0.208541 -0.133470 -0.098967 -0.068775 -0.049944 -0.038030 -0.024372 -0.014933 -0.007781
18;1745751625.412059;0.616953 0.354792 -1.231157 0.319543 0.267864 0.077523 0.061269 0.065765 0.035665 0.026660 0.022754 0.020378 0.018612 0.017373 0.016100 0.097216 -0.109526 -3.076809 -0.174670 -0.230244 -0.205064 -0.181860 -0.119008 -0.112433 -0.072045 -0.050837 -0.035467 -0.023737 -0.014625 -0.007687
19;1745751625.599278;1.383623 0.361333 0.160863 0.280685 0.234690 0.106403 0.174841 0.051828 0.042980 0.033556 0.024346 0.021522 0.018497 0.016321 0.016257 0.947108 0.043139 -0.889378 -0.079920 -0.362520 -0.210237 -0.183903 -0.127978 -0.097901 -0.075002 -0.048464 -0.035544 -0.023120 -0.014984 -0.008309
20;1745751625.803572;0.239326 0.441659 0.463945 0.485404 0.143499 0.112778 0.108705 0.048371 0.043986 0.034695 0.022820 0.020004 0.017984 0.016475 0.016012 0.463980 -0.118394 0.128124 -0.326876 -0.304999 -0.226273 -0.174525 -0.134345 -0.099912 -0.072858 -0.046572 -0.033591 -0.024583 -0.015123 -0.008018
21;1745751625.988136;0.537092 0.333023 0.763469 0.328309 0.089892 0.127569 0.088123 0.053042 0.037013 0.021319 0.025551 0.019447 0.019598 0.016988 0.016522 -0.113895 -0.240707 -0.535486 -0.601010 -0.312336 -0.220042 -0.122157 -0.144580 -0.109563 -0.072155 -0.050583 -0.037404 -0.024022 -0.014460 -0.007586
22;1745751626.167900;0.739843 0.563553 0.017412 0.265303 0.152752 -0.013940 0.129147 0.066797 0.043056 0.028475 0.023153 0.020994 0.017817 0.016912 0.016179 0.109713 -0.414917 -0.442667 -0.366795 -0.256583 -0.341770 -0.148834 -0.130081 -0.097953 -0.061422 -0.052494 -0.035111 -0.022733 -0.014348 -0.007696
23;1745751626.358887;0.479414 0.288892 0.362332 0.281482 0.087572 0.111773 0.070598 0.052608 0.036775 0.030768 0.022960 0.020406 0.018049 0.016998 0.016912 0.500090 -0.020504 -0.079065 -0.171938 -0.254005 -0.159901 -0.134162 -0.126652 -0.099935 -0.068558 -0.051966 -0.036049 -0.023853 -0.015254 -0.007534
24;1745751626.547211;0.507966 0.489740 1.095398 0.489854 0.183808 0.120374 0.084347 0.040303 0.031251 0.031065 0.023783 0.020643 0.018262 0.017308 0.016294 -0.043764 -0.264879 0.460633 -0.139135 -0.354176 -0.178612 -0.183839 -0.137232 -0.092546 -0.067934 -0.049262 -0.035337 -0.023448 -0.015737 -0.008092
25;1745751626.728492;0.557634 0.206400 0.970825 0.407964 0.149619 0.062915 0.081612 0.045259 0.031674 0.029078 0.025680 0.019584 0.019368 0.017288 0.016805 0.190169 -0.095744 0.075157 -0.141109 -0.225518 -0.178983 -0.169201 -0.124253 -0.097608 -0.073314 -0.052693 -0.035880 -0.024615 -0.014875 -0.008271
26;1745751626.906863;0.883073 0.239010 0.671211 0.266471 0.207610 0.117038 0.101499 0.058589 0.033161 0.031962 0.023411 0.019650 0.017850 0.017048 0.016341 -0.295396 -0.015699 -1.095303 -0.131848 -0.266714 -0.192699 -0.160206 -0.143420 -0.104248 -0.070207 -0.050706 -0.034151 -0.022838 -0.014997 -0.007642
27;1745751627.097798;2.110236 0.301281 0.773644 0.324701 0.122565 0.139797 0.111138 0.057830 0.036774 0.030935 0.022240 0.022564 0.018083 0.016611 0.015927 5.710827 -0.024630 -0.417628 -0.143720 -0.250168 -0.165140 -0.153188 -0.122080 -0.095477 -0.069194 -0.049723 -0.033933 -0.023237 -0.015534 -0.007726
28;1745751627.283361;-0.031395 0.690917 0.585487 0.222917 0.043958 0.114964 0.087592 0.057147 0.055425 0.031405 0.027466 0.020754 0.017880 0.016896 0.016222 0.454509 0.006445 -0.076557 -0.182721 -0.332238 -0.183279 -0.140703 -0.126202 -0.103709 -0.066481 -0.049666 -0.034928 -0.022790 -0.015099 -0.007648
29;1745751627.466867;0.548729 0.232667 0.268801 0.269892 0.291126 0.064898 0.063226 0.053610 0.046084 0.034428 0.024419 0.018770 0.018701 0.016695 0.016020 -0.150008 -0.153560 -0.639949 -0.053228 -0.234358 -0.173640 -0.156639 -0.164976 -0.093622 -0.076808 -0.050354 -0.035314 -0.024422 -0.015455 -0.007482
30;1745751627.666888;0.579659 0.381340 0.330733 0.394952 0.094816 0.117433 0.082826 0.040095 0.049153 0.032090 0.025377 0.020754 0.017724 0.016806 0.016645 0.247740 -0.160435 -0.117559 -0.254334 -0.309342 -0.175116 -0.152404 -0.139240 -0.091314 -0.077756 -0.050930 -0.034298 -0.022997 -0.015379 -0.007720
31;1745751627.847053;0.544304 0.521417 0.403848 0.218013 0.339748 0.131641 0.051864 0.054283 0.034465 0.023844 0.022693 0.020763 0.018762 0.016976 0.016203 0.023845 -0.472437 -0.310796 -0.280163 -0.354763 -0.185432 -0.137772 -0.120599 -0.097760 -0.069229 -0.048245 -0.035744 -0.023090 -0.015374 -0.007785
32;1745751628.041665;0.215533 0.826395 0.302960 0.209523 0.213894 0.089805 0.101051 0.066897 0.037024 0.033432 0.023108 0.018626 0.017822 0.016398 0.016276 0.026392 0.138865 -0.117061 -0.268331 -0.161135 -0.201788 -0.201454 -0.135765 -0.099699 -0.070638 -0.051008 -0.036568 -0.022802 -0.015044 -0.008158
33;1745751628.227731;2.194421 0.178333 0.462655 0.240049 0.292084 0.118577 0.047781 0.064083 0.039466 0.032709 0.024529 0.020693 0.018764 0.017078 0.016769 -1.199166 -0.296651 -0.085496 -0.175233 -0.263716 -0.211030 -0.141229 -0.117918 -0.101180 -0.069258 -0.048708 -0.035674 -0.023973 -0.015160 -0.007621
34;1745751628.410061;0.299894 0.534149 0.636898 0.203235 0.164397 0.088482 0.072080 0.069612 0.046921 0.031387 0.024832 0.020894 0.018177 0.016678 0.016522 0.278875 -0.130197 -0.270354 -0.113405 -0.268423 -0.215310 -0.146204 -0.129660 -0.112122 -0.065180 -0.051196 -0.034000 -0.023044 -0.014775 -0.007889
35;1745751628.600911;0.644317 0.440656 0.827129 0.309304 0.188028 0.124501 0.067452 0.060757 0.038568 0.025706 0.022572 0.019468 0.018558 0.017076 0.016230 0.221256 -0.244427 -0.273264 -0.307442 -0.280629 -0.192946 -0.136861 -0.134844 -0.105284 -0.071054 -0.050582 -0.034221 -0.024013 -0.015604 -0.007987
36;1745751628.787652;0.273386 0.314329 0.429790 0.470995 0.197944 0.162675 0.123559 0.054467 0.044164 0.031334 0.025000 0.020692 0.016398 0.016877 0.015939 0.115161 -0.112890 0.060127 -0.132223 -0.238053 -0.253228 -0.178815 -0.137854 -0.112961 -0.070653 -0.047684 -0.034451 -0.023768 -0.014834 -0.008068
37;1745751628.969158;0.639745 0.192938 -0.397422 0.221225 0.328443 0.083755 0.082401 0.060533 0.043606 0.033205 0.023023 0.020213 0.018367 0.016871 0.016080 -0.521879 -0.169895 -0.896482 -0.160753 -0.191972 -0.182172 -0.143412 -0.142477 -0.108758 -0.070480 -0.056155 -0.034271 -0.023779 -0.015078 -0.007624
